,test,serial_number,evaluation,sample_value,test_result,made_by,equipment,sample_plan,plan_result,plan_date,plan_hour,lat_ticket,lsl,usl
27,CC-Punto de Destruccion @ 75%,qasn2310100001,Mayor Que (8900N),21803.9,Paso,546792,07599,Especificacion: ES-F7LB-63611B08-AA Prueba: Destruccion Variante: C,Pendiente,2023-04-11,2023-04-11 08:33:00,QT231010001,8900.0,
33,Angulo de Atore a 90°,qasn2310100000,"Entre (12°, 27°)",22.2,Paso,657647,05849,Especificacion: ES88800-00 Prueba: Aceleracion Variante: J,Paso,2023-04-11,2023-04-11 11:29:00,QT231010000,12.0,27.0
34,Angulo de Atore a 180°,qasn2310100000,"Entre (12°, 27°)",21.0,Paso,657647,05849,Especificacion: ES88800-00 Prueba: Aceleracion Variante: J,Paso,2023-04-11,2023-04-11 11:29:00,QT231010000,12.0,27.0
35,Angulo de Atore a 270°,qasn2310100000,"Entre (12°, 27°)",21.0,Paso,657647,05849,Especificacion: ES88800-00 Prueba: Aceleracion Variante: J,Paso,2023-04-11,2023-04-11 11:29:00,QT231010000,12.0,27.0
36,Angulo de Atore a 0°,qasn2310100000,"Entre (12°, 27°)",22.3,Paso,657647,05849,Especificacion: ES88800-00 Prueba: Aceleracion Variante: J,Paso,2023-04-11,2023-04-11 11:29:00,QT231010000,12.0,27.0
37,"Aceleracion a 0.45 G's, Angulo a 0° con ""Atore""",qasn2310100000,Menor Que (50mm),23.42,Paso,657647,05849,Especificacion: ES88800-00 Prueba: Aceleracion Variante: J,Paso,2023-04-11,2023-04-11 11:29:00,QT231010000,,50.0
38,"Aceleracion a 0.45 G's, Angulo a 90° con ""Atore""",qasn2310100000,Menor Que (50mm),23.01,Paso,657647,05849,Especificacion: ES88800-00 Prueba: Aceleracion Variante: J,Paso,2023-04-11,2023-04-11 11:29:00,QT231010000,,50.0
39,"Aceleracion a 0.45 G's, Angulo a 180° con ""Atore""",qasn2310100000,Menor Que (50mm),22.74,Paso,657647,05849,Especificacion: ES88800-00 Prueba: Aceleracion Variante: J,Paso,2023-04-11,2023-04-11 11:29:00,QT231010000,,50.0
40,"Aceleracion a 0.45 G's, Angulo a 270° con ""Atore""",qasn2310100000,Menor Que (50mm),25.42,Paso,657647,05849,Especificacion: ES88800-00 Prueba: Aceleracion Variante: J,Paso,2023-04-11,2023-04-11 11:29:00,QT231010000,,50.0
41,"Aceleracion a 0.7 G's, Angulo a 0° con ""Atore""",qasn2310100000,Menor Que (25mm),19.68,Paso,657647,05849,Especificacion: ES88800-00 Prueba: Aceleracion Variante: J,Paso,2023-04-11,2023-04-11 11:29:00,QT231010000,,25.0
42,"Aceleracion a 0.7 G's, Angulo a 90° con ""Atore""",qasn2310100000,Menor Que (25mm),18.37,Paso,657647,05849,Especificacion: ES88800-00 Prueba: Aceleracion Variante: J,Paso,2023-04-11,2023-04-11 11:29:00,QT231010000,,25.0
43,"Aceleracion a 0.7 G's, Angulo a 180° con ""Atore""",qasn2310100000,Menor Que (25mm),23.49,Paso,657647,05849,Especificacion: ES88800-00 Prueba: Aceleracion Variante: J,Paso,2023-04-11,2023-04-11 11:29:00,QT231010000,,25.0
44,"Aceleracion a 0.7 G's, Angulo a 270° con ""Atore""",qasn2310100000,Menor Que (25mm),19.27,Paso,657647,05849,Especificacion: ES88800-00 Prueba: Aceleracion Variante: J,Paso,2023-04-11,2023-04-11 11:29:00,QT231010000,,25.0
46,"Sensitividad Web, Aceleracion con ""No Atore""",qasn2310100000,Igual A (1.45G),1.45,Paso,657647,05849,Especificacion: ES88800-00 Prueba: Aceleracion Variante: J,Paso,2023-04-11,2023-04-11 11:29:00,QT231010000,,
47,"Sensitividad Web, Resultado de la Aceleracion a 4.99 G's",qasn2310100000,Menor Que (50mm),22.86,Paso,657647,05849,Especificacion: ES88800-00 Prueba: Aceleracion Variante: J,Paso,2023-04-11,2023-04-11 11:29:00,QT231010000,,50.0
48,"Sensitividad Web, Resultado de la Aceleracion a 4.99 G's",qasn2310100000,Menor Que (50mm),22.81,Paso,657647,05849,Especificacion: ES88800-00 Prueba: Aceleracion Variante: J,Paso,2023-04-11,2023-04-11 11:29:00,QT231010000,,50.0
49,"Sensitividad Web, Resultado de la Aceleracion a 4.99 G's",qasn2310100000,Menor Que (50mm),33.18,Paso,657647,05849,Especificacion: ES88800-00 Prueba: Aceleracion Variante: J,Paso,2023-04-11,2023-04-11 11:29:00,QT231010000,,50.0
50,Nivel de Retraccion Rear@400mm,qasn2310100000,"Entre (2.0N, 5.0N)",2.43,Paso,549227,03799,Especificacion: ES88800-00 Prueba: Extraccion Variante: J,Paso,2023-04-11,2023-04-11 12:45:00,QT231010000,2.0,5.0
51,Nivel de Extraccion Rear@400mm,qasn2310100000,Menor Que (12.0N),9.44,Paso,549227,03799,Especificacion: ES88800-00 Prueba: Extraccion Variante: J,Paso,2023-04-11,2023-04-11 12:45:00,QT231010000,,12.0
52,Nivel de Retraccion Rear@1700mm,qasn2310100000,"Entre (1.0N, 3.0N)",1.84,Paso,549227,03799,Especificacion: ES88800-00 Prueba: Extraccion Variante: J,Paso,2023-04-11,2023-04-11 12:45:00,QT231010000,1.0,3.0
53,Nivel de Extraccion Rear@1700mm,qasn2310100000,Menor Que (7.5N),6.6,Paso,549227,03799,Especificacion: ES88800-00 Prueba: Extraccion Variante: J,Paso,2023-04-11,2023-04-11 12:45:00,QT231010000,,7.5
54,Punto de Destruccion,qasn2310100000,Mayor Que (14700N),18232.2,Paso,546792,07599,Especificacion: ES88800-00 Prueba: Destruccion Variante: B,Pendiente,2023-04-11,2023-04-11 13:09:00,QT231010000,14700.0,
61,QA_Sub_Separacion de Cubierta de Sensor 350(N)MIN. TS34085034,,Mayor Que (350N),978.0,Paso,768660,08383,Especificacion: Per Print Subassemblies Prueba: QA_Sub_Pruebas de Push Out & Pull Off Variante: D,Paso,2023-04-11,2023-04-11 10:31:00,QT23101001E,350.0,
63,QA_Sub_Separacion de Tapa de Resorte 350(N)MIN. TS34085034,,Mayor Que (350N),693.0,Paso,768660,08383,Especificacion: Per Print Subassemblies Prueba: QA_Sub_Pruebas de Push Out & Pull Off Variante: D,Paso,2023-04-11,2023-04-11 10:31:00,QT23101001E,350.0,
65,QA_Sub_Jalado de Barra Superior 1500(N)MIN. TS34005233,,Mayor Que (1500N),2946.0,Paso,768660,08383,Especificacion: Per Print Subassemblies Prueba: QA_Sub_Pruebas de Push Out & Pull Off Variante: D,Paso,2023-04-11,2023-04-11 10:31:00,QT23101001E,1500.0,
67,QA_Sub_Jalado de Barra Inferior 1500(N)MIN. TS34005233,,Mayor Que (1500N),3110.0,Paso,768660,08383,Especificacion: Per Print Subassemblies Prueba: QA_Sub_Pruebas de Push Out & Pull Off Variante: D,Paso,2023-04-11,2023-04-11 10:31:00,QT23101001E,1500.0,
98,Angulo de Atore a 90°,qasn231010002p,"Entre (15°, 45°)",27.2,Paso,657647,05849,Especificacion: GMW14831 Prueba: Aceleracion Variante: M,Paso,2023-04-11,2023-04-11 12:58:00,QT23101002M,15.0,45.0
